,title,n_enrolled,level,language,rating,price,sales
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",1922,All,English,1,60,115320
138,How to Pick The Right Penny Stocks To Invest In 2017,9015,All,English,5,150,1352250
139,Top 10 Trading Ideas in the Equities Market,661,All,English,1,20,13220
140,Intro to Financial Modeling,1077,Beginner,Italian,1,105,113085
141,Shark Accounting - Building a Business by the Numbers!,6050,Beginner,English,4,20,121000
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,3523,All,English,2,150,528450
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,1444,Beginner,English,1,100,144400
145,Learn how to double your Forex Trading Account in one trade,2900,Intermediate,English,2,60,174000
146,"Accounting Superpowers: Learn Accounts, Understand Business!",1437,Beginner,English,1,200,287400
147,Python Algo Trading: FX Trading with Oanda,453,Intermediate,English,1,200,90600
148,Save on Your Taxes,2437,All,English,2,20,48740
149,Financial Model Basics: Build a model from start to finish,5057,Beginner,Catalan,3,30,151710
150,Option Trading for Rookies: The Covered Call Option Strategy,6092,Beginner,English,4,95,578740
151,EFT for Stock Options Trading Success & Making Better Trades,4530,All,English,3,95,430350
152,Learn to Trade the Stock Market without Blowing Your Profits,6967,All,English,4,60,418020
153,Get a Credit Repair Publication On Amazon and Live LIFE..,727,Beginner,English,1,20,14540
154,Fundamentals of Accounting,1560,All,English,1,20,31200
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",1047,All,English,1,200,209400
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,1045,Intermediate,English,1,125,130625
157,Accounting 101: How to read an Accounting Balance Sheet,3050,Beginner,English,2,200,610000
158,Stock Options Day Trading Mindset for Success,2988,All,English,2,200,597600
159,Introduction to bookkeeping and Accounting,2623,Beginner,English,2,35,91805
160,Learn to Trade The News,1924,All,English,1,200,384800
161,"Value Investing, Taught by Six Superinvestors",3804,All,English,2,200,760800
162,Trading for everyone - The Independent Investor Course I,4133,Beginner,English,3,120,495960
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,1420,All,English,1,195,276900
164,Stock Market investment: Practical Accounting,1120,Beginner,English,1,125,140000
165,"How to remove 'Risk from Penny Stocks - Options Trading""",668,All,English,1,200,133600
166,Accounting Basics in 66 Minutes (absolutely for beginners),4086,All,English,3,25,102150
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",1033,All,English,1,200,206600
168,Analysis of Company Financial Statements,832,All,English,1,20,16640
169,Forex Trading Like Banks – Step by Step with Live Examples,677,All,English,1,195,132015
170,Fundamentals of Investing!,3125,Beginner,English,2,20,62500
171,Bank Financial Management A Comprehensive Study,1081,All,English,1,50,54050
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,1645,All,English,1,200,329000
173,"Master 'Technical Analysis and Chart reading skills Bundle""",3348,All,English,2,120,401760
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,939,All,English,1,200,187800
175,The Ultimate Guide to Dividend & Dividend Growth Investing,2115,All,English,2,200,423000
176,Charting for Beginners 101: Technical Analysis Demystified,2230,All,English,2,45,100350
177,Build a DCF Valuation Model,2053,All,English,2,50,102650
178,Introductory Financial Accounting,1793,Beginner,English,1,80,143440
179,Introduction to Cryptocurrencies and Blockchain,3775,Beginner,English,2,0,0
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,521,All,English,1,200,104200
181,Accounting Standards Basics (Professional Course Level),2222,All,English,2,20,44440
182,Use the Magic Multiple Moving Average Forex Trading system,1097,Intermediate,English,1,50,54850
183,QuickBooks 2015 Training for Newbies,2506,Beginner,English,2,200,501200
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,975,Intermediate,English,1,120,117000
185,Option Trading: How to Adjust Delta-Neutral Strangles!,1398,All,English,1,145,202710
186,Profitable binary option trading strategy,1096,All,English,1,195,213720
187,Tax Strategy: Financial Planning for Beginners,1703,All,English,1,200,340600
188,Accounting 2 Simplified for You,1446,Beginner,English,1,45,65070
189,Project Funding Modelling (for Professionals),2736,All,English,2,20,54720
190,Investing: How I Consistently Beat The Stock Market,2000,All,English,2,200,400000
191,Bookkeeping Basics:  Understand the Fundamentals,853,Beginner,English,1,75,63975
192,Leasing - A Comprehensive Study (Professional Course Level),3094,All,English,2,20,61880
193,Trading Options For Consistent Returns: Options Basics,4077,Beginner,English,3,0,0
194,TechniTrader Leading Hybrid Indicator Trading,4117,Intermediate,English,3,20,82340
195,Financial modeling: Build a DCF equity valuation model,1369,All,Italian,1,20,27380
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),1224,All,English,1,150,183600
197,Accounting Is Easy (for Beginners),3870,All,English,2,20,77400
198,Non Directional Weekly Options Trading System - ETF & Emini,897,All,English,1,200,179400
199,The Complete Position Trading Course: Position Trading Stock,1311,All,English,1,45,58995
200,Master Iron Condors - Double the credit for half the risk,1338,Expert,English,1,60,80280
201,Basics of investing in Mutual Funds,1589,Intermediate,English,1,20,31780
202,A Value Investing Approach to the Stock Market,1189,All,English,1,20,23780
203,Learn how to INVEST for huge profits or make it big trading!,701,All,English,1,50,35050
204,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",1105,Intermediate,English,1,50,55250
205,Mastering Candlestick Charting : High Probability Trading,123,All,English,1,50,6150
206,Binary Options Course - Level 2,5874,Intermediate,English,3,0,0
207,Stock Technical Analysis with R,354,All,English,1,50,17700
208,"Get to know the VIX Index (aka 'The Fear Index)""",727,All,English,1,60,43620
209,Apply finance concepts for smart project management,3465,Beginner,English,2,0,0
210,Introduction to Futures Trading and Live Trade Demonstration,54,Expert,English,1,60,3240
211,Crowdfunding to Win,627,All,English,1,40,25080
212,Comprehensive Forex Mastery Program,650,All,English,1,45,29250
213,Preparation of Consolidated Financial Statements (Basic),965,Intermediate,English,1,0,0
214,Succeed in Bonds Even if You Don't Know Where to Start,1113,All,English,1,200,222600
215,Learn to Trade for Profit: Ten Most Profitable Trading Rules,739,All,English,1,95,70205
216,Succeed in Lotto Even if You Don't Know Where to Start!,1201,All,English,1,20,24020
217,CFA Corporate Finance Level 2,2474,All,English,2,50,123700
218,Pin Bars: The Most Powerful Forex Trading Signal,494,All,English,1,200,98800
219,Stock Options Trades Using Interactive Brokers,1580,Intermediate,English,1,95,150100
220,Introduction to Options - Strategies For Consistent Profits,617,All,English,1,40,24680
221,Risk in Forex Transactions - for CA / CS / CFA exams,2235,All,English,2,20,44700
222,Basics of Business Statistics (College Level),2293,All,English,2,20,45860
223,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",1094,Beginner,English,1,200,218800
224,Interpreting Financial Statements,1449,Beginner,English,1,20,28980
225,Introduction to Bookkeeping (Accounting),3251,Beginner,English,2,20,65020
226,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,607,Intermediate,English,1,60,36420
227,Investment Banking: How to Land a Job on Wall Street,1218,All,English,1,75,91350
228,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,1132,All,English,1,20,22640
229,Financial modeling: Build a multiples valuation model,656,All,Catalan,1,20,13120
230,Trade Recap I - A Real Look at Futures Options Markets,3339,Beginner,English,2,20,66780
231,Advanced Stock Options for Serious Equity Investors!,1271,Expert,English,1,200,254200
232,Trading Binary Options for Fun and Profit,1574,All,English,1,20,31480
233,CFA: Fast Track your career in Finance,1393,Beginner,English,1,20,27860
234,How to be a Profitable Forex Trader,1029,All,English,1,20,20580
235,Excel Dashboard - Interactive Excel Dashboard and Charts,843,All,English,1,30,25290
236,Accounting 101: Learn Business Finance Forecasting in 60mins,1730,All,English,1,95,164350
237,The Securities Trade Lifecycle,1182,All,English,1,50,59100
238,Double your Forex Account using the MAGIC MA trading robot,1160,Intermediate,English,1,65,75400
239,Technical Analysis 101: How to Profit During Market Crashes,1730,All,English,1,95,164350
240,Advanced Accounting for Investment Banking,1260,Intermediate,English,1,50,63000
241,Investing In Stocks With 10 Simple Rules,871,All,English,1,95,82745
242,Venture Capital. What is it and Why it Matters to You!,1566,All,English,1,50,78300
243,Cash Flow Valuation: Develop Your Financial Literacy,2987,All,English,2,105,313635
244,Direction-Independ Trading - Elite Forex Traders  Strategy,973,All,English,1,120,116760
245,How to Become a Financial Analyst from Scratch!,2177,Beginner,English,2,40,87080
246,First Steps to Trading the Forexmarkets : Technical Analysis,1772,Beginner,English,1,35,62020
247,Financial analysis: Compare performance of companies,1850,All,English,1,20,37000
248,Forex for Beginners: Easy Forex Trading for Beginners,1780,Beginner,English,1,0,0
249,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),4607,Beginner,English,3,0,0
250,Read financial statements like a pro,12,Intermediate,English,1,50,600
251,10 Numbers Every Business Owner Should Know,13,All,English,1,20,260
252,Learn How To Trade Gold In 2017,2,All,English,1,200,400
253,IAS 18 - Revenue,2571,All,English,2,0,0
254,Forex Trading: The High ROI Forex Trading End of Day Course,8,Intermediate,English,1,125,1000
255,Fundraise the Simplified Way: A Crowdfunding Blueprint,7,All,English,1,35,245
256,Fundamentals of Accounting for Business Owners,217,Beginner,English,1,20,4340
257,Practical Financial Statement Analysis,22,All,English,1,75,1650
258,Forex Management - Detailed Study for CA / CS / CFA Exams,131,All,English,1,50,6550
259,Financial Statement Review 101:  How to Find Errors,5,Beginner,English,1,30,150
260,Professional Risk Manager (PRM) Certification: Level 1,116,All,English,1,50,5800
261,International Tax  - Tax Beyond boundaries,27,All,English,1,100,2700
262,The Complete Financial Statement Analysis Course,912,Beginner,English,1,150,136800
263,Advanced Excel functions,1964,All,English,1,20,39280
264,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),1033,Beginner,English,1,200,206600
265,Candlestick Analysis For Professional Traders,913,Expert,English,1,95,86735
266,Build A Career In Forex Trading- Learn Fundamental Analysis,2092,All,English,2,200,418400
267,Financial Modeling: Build a Complete DCF Valuation Model,2240,All,English,2,95,212800
268,Hands-on Financial Modeling (With 6 Excel Templates),4601,Intermediate,English,3,30,138030
269,CAIIB Advanced Bank Management (Part I),2953,All,English,2,25,73825
270,Stock Market investment:Non financial fundamental analysis,1091,Beginner,English,1,125,136375
271,Learn How to Play CashFlow Game,1459,Beginner,English,1,35,51065
272,Basics of Business Finance,4855,Beginner,English,3,30,145650
273,Accounting Made Easy 2,4034,Intermediate,English,3,50,201700
274,"Bitcoin: el futuro del dinero, hoy",57,Intermediate,Spanish,1,200,11400
275,Aprende a invertir practicando,26,All,English,1,35,910
276,Trading con retrocesos de Fibonacci,14,All,Spanish,1,25,350
277,Mit Finanzwissen zu besserem Unternehmertum,49,Beginner,German,1,50,2450
278,Como hacer empresa en 10 sesiones prácticas,11,Intermediate,Spanish,1,20,220
279,المحاسبة للإداريين و غير المحاسبين,9,Beginner,Arabic,1,20,180
280,株式投資で本当のファンダメンタル分析ができるようになる,91,All,Japanese,1,20,1820
281,Curso de Trading práctico basado en casos reales,44,All,Spanish,1,20,880
282,Curso Avanzado de Trading,106,All,Spanish,1,125,13250
283,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,2079,All,Thai,2,0,0
284,MQL4 Tutorial Golden Goose,135,Beginner,English,1,20,2700
285,Análise de Concessão de Crédito,31,All,Portuguese,1,20,620
286,Technical Analysis Using Elliott Wave Theory,217,All,English,1,60,13020
287,The Basics Of Volume Analysis,611,All,English,1,60,36660
288,Crash Course on Cost of Capital and Capital Structuring,5007,All,English,3,0,0
289,Business Accounting Made Easy,1168,Beginner,English,1,50,58400
290,Build a DCF Model from Scratch,4653,All,English,3,0,0
291,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",3035,All,English,2,0,0
292,Technical Analysis - A practical approach for trade entry,454,Expert,English,1,60,27240
293,Mastering Technical Analysis : Maximizing Trading Profits,325,All,English,1,60,19500
294,The Complete Guide to Professional Trading with Elliott Wave,228,All,English,1,115,26220
295,A Complete Guide to Becoming a Trader on the Forex Market,562,All,English,1,25,14050
296,Stock Market for Beginners - Complete Starter Toolkit,577,Intermediate,Norwegian,1,120,69240
298,Technical Analysis 101: Secrets of Trading Revealed,912,All,English,1,150,136800
299,Forex: What's a Trend and When it is Strong and Reliable,2955,Intermediate,English,2,0,0
300,Volatility Trading Analysis with R,190,Expert,English,1,50,9500
301,How To Profit From Stock Market Volatility,1736,All,English,1,0,0
302,Awaken the Accountant in You | Master the Accounting Basics,1135,Beginner,English,1,35,39725
303,WE WILL PAY YOU TO TRADE WITH US,2101,All,English,2,20,42020
304,Situational Trading: Proven Option Strategy for any Scenario,1048,All,English,1,200,209600
305,Portfolio Management for CA / CS / CFA exams,1740,All,English,1,20,34800
306,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),1749,All,English,1,20,34980
307,Finding an Unlimited Amount of Investors,1187,All,English,1,80,94960
308,Bookkeeping Made Easy,1263,Beginner,Afrikaans,1,70,88410
309,BITCOIN VISUALLY. Part I.,115,Beginner,Catalan,1,50,5750
310,Learn and Master the Basics of Finance,43,Beginner,English,1,20,860
311,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,55,All,English,1,75,4125
312,Mastering the Market : (Technical Analysis + Candlestick),18,All,English,1,90,1620
313,Mastering Countertrend Trading : High Profit Trading Pattern,14,All,English,1,40,560
314,Exam 1 Review - Managerial Accounting (U of H),47,Beginner,English,1,30,1410
315,* An Integrated Approach to the Fundamentals of Accounting,134,All,English,1,200,26800
316,Get to grips with the CFA calculator,153,All,English,1,20,3060
317,Financial Model Fundamentals-Learn the Essential Skills,47,All,Catalan,1,75,3525
318,Forex: Economic News Trading,42,All,English,1,25,1050
319,Analyze Real Estate Investments | Financial Modeling,120,All,Catalan,1,20,2400
320,Forex For Beginners - A Guide To Currency Trading,68,Beginner,English,1,20,1360
321,Raise Your Credit Score to 800 Or More....,844,All,English,1,50,42200
322,Financial Management Budgeting Techniques,2045,All,French,2,20,40900
323,Forex Killing Divergence - How to trade with precision,1168,All,English,1,20,23360
324,Working Capital Management for CA / CFA / CPA Exams,2342,Intermediate,English,2,25,58550
