,title,n_enrolled,level,language,rating,price,sales
228,Gestión de organizaciones efectivas,52876.0,Intermediate,English,5.0,39,2062164.0
230,Getting Started With Music Theory,263956.0,Beginner,English,4.0,39,10294284.0
231,Getting Started with AWS Machine Learning,254265.0,Beginner,English,4.0,39,9916335.0
232,Getting Started with Azure,60094.0,Intermediate,English,4.0,39,2343666.0
234,Getting Started with Go,283045.0,Beginner,English,4.0,39,11038755.0
235,Getting Started with Google Kubernetes Engine,112343.0,Beginner,English,4.0,39,4381377.0
236,Getting Started with Google Sheets,102636.0,Beginner,English,5.0,39,4002804.0
239,Global Diplomacy – Diplomacy in the Modern World,129526.0,Beginner,English,5.0,39,5051514.0
245,Google Cloud Platform Fundamentals: Core Infrastructure,214619.0,Beginner,English,5.0,39,8370141.0
247,Grammar and Punctuation,27940.0,Beginner,English,5.0,39,1089660.0
248,Greek and Roman Mythology,433198.0,Intermediate,English,5.0,39,16894722.0
249,Greening the Economy: Sustainable Cities,213180.0,Intermediate,English,5.0,39,8314020.0
250,Guitar for Beginners,46650.0,Beginner,English,5.0,39,1819350.0
252,"HTML, CSS, and Javascript for Web Developers",20173.0,Beginner,English,5.0,39,786747.0
253,Hacia una práctica constructivista en el aula,69129.0,Beginner,English,5.0,39,2696031.0
254,Healing with the Arts,41685.0,Beginner,French,5.0,39,1625715.0
255,Health Behavior Change: From Evidence to Action,19393.0,Intermediate,English,5.0,39,756327.0
256,High Stakes Leadership: Leading in Times of Crisis,39006.0,Intermediate,English,5.0,39,1521234.0
257,How Google does Machine Learning,409253.0,Beginner,English,4.0,39,15960867.0
259,How to Manage a Remote Team,221806.0,Beginner,English,5.0,39,8650434.0
260,Human Rights for Open Societies,368759.0,Beginner,English,5.0,39,14381601.0
262,IBM Customer Engagement Specialist Professional Certificate,308770.0,Beginner,English,5.0,39,12042030.0
263,IT Security: Defense against the digital dark arts,119509.0,Beginner,English,5.0,39,4660851.0
266,Improving your statistical inferences,52133.0,Beginner,English,5.0,39,2033187.0
267,In the Studio: Postwar Abstract Painting,147280.0,Beginner,English,5.0,39,5743920.0
272,"Information Systems Auditing, Controls and Assurance",204876.0,Beginner,English,5.0,39,7990164.0
273,Initiating and Planning Projects,546182.0,Beginner,English,5.0,39,21301098.0
274,Innovation Management,332421.0,Beginner,Portuguese,5.0,39,12964419.0
275,"Innovation Through Design: Think, Make, Break, Repeat",300081.0,Beginner,English,5.0,39,11703159.0
276,Inspiring and Motivating Individuals,21395.0,Beginner,English,5.0,39,834405.0
278,Intercultural Management,185424.0,Beginner,English,4.0,39,7231536.0
279,International Humanitarian Law in Theory and Practice,418805.0,Intermediate,English,5.0,39,16333395.0
280,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,188747.0,Beginner,English,5.0,39,7361133.0
282,International Leadership and Organizational Behavior,44341.0,Beginner,English,5.0,39,1729299.0
283,International Organizations Management,,Intermediate,English,5.0,39,
284,International Security Management,,Beginner,English,5.0,39,
286,International migrations: a global issue,,Intermediate,English,4.0,39,
287,Introducción a Data Science: Programación Estadística con R,,Beginner,English,5.0,39,
289,Introduction aux Droits de l’Homme,,Beginner,English,5.0,39,
290,Introduction to Accounting Data Analytics and Visualization,,Beginner,English,5.0,39,
293,Introduction to Big Data,,Beginner,English,5.0,39,
295,Introduction to Business Analytics: Communicating with Data,,Beginner,English,5.0,39,
296,Introduction to C# Programming and Unity,,Intermediate,English,5.0,39,
297,Introduction to CSS3,,Beginner,English,5.0,39,
298,Introduction to Calculus,,Beginner,English,5.0,39,
300,Introduction to Classical Music,,Intermediate,English,5.0,39,
302,Introduction to Computer Programming,,Beginner,English,4.0,39,
306,Introduction to Data Analysis Using Excel,,Beginner,English,5.0,39,
307,Introduction to Data Analytics,,Beginner,Spanish,5.0,39,
310,Introduction to Economic Theories,,Beginner,English,4.0,39,
312,Introduction to Embedded Systems Software and Development Environments,,Beginner,English,4.0,39,
313,Introduction to Engineering Mechanics,,Beginner,English,5.0,39,
315,Introduction to Environmental Law and Policy,,Intermediate,English,5.0,39,
317,Introduction to Forensic Science,,Intermediate,English,5.0,39,
318,Introduction to G Suite,,Intermediate,English,5.0,39,
321,Introduction to Genomic Technologies,,Beginner,English,4.0,39,
324,Introduction to Healthcare,,Beginner,English,4.0,39,
325,Introduction to Intellectual Property,,Beginner,English,5.0,39,
327,Introduction to Machine Learning,,Beginner,English,5.0,39,
328,Introduction to Marketing,,Beginner,French,5.0,39,
329,Introduction to Mathematical Thinking,,Beginner,English,5.0,39,
330,Introduction to Molecular Spectroscopy,,Beginner,Portuguese,5.0,39,
331,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,,Advanced,French,5.0,39,
332,Introduction to Neuroeconomics: How the Brain Makes Decisions,,Beginner,English,5.0,39,
335,Introduction to Philosophy,,Beginner,English,5.0,39,
336,Introduction to Portfolio Construction and Analysis with Python,,Intermediate,English,5.0,39,
340,Introduction to Psychology,,Intermediate,English,5.0,39,
341,Introduction to Public Speaking,,Intermediate,English,5.0,39,
342,Introduction to Search Engine Optimization,,Beginner,English,5.0,39,
343,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",,Beginner,English,5.0,39,
344,Introduction to Self-Driving Cars,,Beginner,English,5.0,39,
345,Introduction to Social Media Marketing,,Beginner,English,5.0,39,
346,Introduction to Software Product Management,,Beginner,English,5.0,39,
347,Introduction to Spreadsheets and Models,,Beginner,Spanish,4.0,39,
349,Introduction to Structured Query Language (SQL),,Beginner,English,5.0,39,
350,Introduction to Sustainability,,Intermediate,English,5.0,39,
351,Introduction to Systematic Review and Meta-Analysis,,Beginner,English,5.0,39,
352,Introduction to Systems Engineering,,Intermediate,English,5.0,39,
353,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",,Beginner,English,5.0,39,
355,Introduction to Typography,,Beginner,English,5.0,39,
356,Introduction to User Experience Design,,Intermediate,English,4.0,39,
357,Introduction to User Experience Principles and Processes,,Beginner,English,5.0,39,
358,Introduction to Web Development,,Beginner,English,5.0,39,
359,Introduction to the Biology of Cancer,,Beginner,English,5.0,39,
360,Introduction to the Digital Advertising Landscape,,Beginner,English,4.0,39,
361,Introductory Human Physiology,,Beginner,English,5.0,39,
362,Introdução à Ciência da Computação com Python Parte 1,,Intermediate,English,5.0,39,
